Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	File Offset (s)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	Call type	AR comment	species	certainty	comment	type	WH ID	WH Comment	NEW analysis	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
5756	Spectrogram 1	1	2124.634096315	2124.979573702	36.145	1149.398	1113.253	0.3455	46.875	25.4684	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	16.30											Y	1	1	X	BY	783	
5757	Spectrogram 1	1	2125.657965662	2125.846407873	636.145	1178.313	542.169	0.1884	802.734	26.4923	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	12.76											X	0	1	X	Y	783	
5758	Spectrogram 1	1	2127.827801711	2128.091620807	86.747	1221.687	1134.940	0.2638	199.219	28.6621	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	17.44											Y	1	0	X	B	784	
5759	Spectrogram 1	1	2128.531319299	2128.770012767	65.060	1149.398	1084.337	0.2387	140.625	29.3656	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	15.79											Y	1	0	X	B	784	
5760	Spectrogram 1	1	3220.381079564	3220.600928811	14.458	1178.313	1163.855	0.2198	17.578	221.4748	1208234033.020831142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020831142219.wav	17.60											Y	1	0	X	B	1646	
5761	Spectrogram 1	1	3222.811984087	3223.088365997	93.976	1077.108	983.133	0.2764	222.656	223.9056	1208234033.020831142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020831142219.wav	14.36											Y	1	0	X	B	1646	
5762	Spectrogram 1	1	3359.104267358	3362.151222458	368.675	1959.036	1590.361	3.0470	626.953	60.2763	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	13.81											Y	5	5	X	BY	1656	
5763	Spectrogram 1	1	3363.545892868	3364.123304185	289.157	1525.301	1236.145	0.5774	644.531	64.7179	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.76											X	1	1	Y	BY	1656	BS <1KHZ
5764	Spectrogram 1	1	3364.380918464	3367.623305086	86.747	1503.614	1416.867	3.2424	169.922	65.5529	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	15.92											Y	5	5	X	BY	1656	
5765	Spectrogram 1	1	3368.144624303	3372.834980842	361.446	1460.241	1098.795	4.6904	375.000	69.3166	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.89											Y	6	5	X	BY	1656	
5766	Spectrogram 1	1	3373.432350873	3376.807986261	245.783	1395.181	1149.398	3.3756	533.203	74.6044	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.75											Y	4	4	Y	BY	1656	BS >1KHZ
5767	Spectrogram 1	1	3378.113824161	3378.709001979	267.470	1250.602	983.133	0.5952	574.219	79.2858	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	13.63											Y	1	1	X	BY	-	Not prev annotated
5768	Spectrogram 1	1	3378.877783749	3379.517377822	253.012	1272.289	1019.277	0.6396	363.281	80.0498	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.21											Y	1	1	X	BY	-	Not prev annotated
5769	Spectrogram 1	1	3379.703926094	3380.281337410	216.867	1322.892	1106.024	0.5774	533.203	80.8759	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.96											Y	1	1	X	BY	-	Not prev annotated
5770	Spectrogram 1	1	3380.396819673	3381.027530496	310.843	1265.060	954.217	0.6307	574.219	81.5688	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	11.66											Y	1	1	X	BY	-	Not prev annotated
5771	Spectrogram 1	1	3381.261934884	3381.892645706	253.012	1301.205	1048.193	0.6307	996.094	82.4339	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.90											Y	1	1	X	BY	-	Not prev annotated
5772	Spectrogram 1	1	3388.070114227	3389.118337847	166.265	1207.229	1040.964	1.0482	193.359	89.2421	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.96											Y	1	2	X	BY	-	Not prev annotated
5773	Spectrogram 1	1	3389.571383649	3390.619607269	216.867	1424.096	1207.229	1.0482	375.000	90.7434	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.97											Y	1	2	X	BY	-	Not prev annotated
5774	Spectrogram 1	1	3392.530295305	3393.720650942	166.265	1395.181	1228.916	1.1904	1042.969	93.7023	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	13.31											Y	1	2	X	BY	-	Not prev annotated
5775	Spectrogram 1	1	3397.060753325	3397.407200115	853.012	1308.434	455.422	0.3464	1083.984	98.2327	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	11.17											X	0	1	X	Y	-	Not prev annotated
5777	Spectrogram 1	1	3399.574713364	3399.894510401	946.988	1257.831	310.843	0.3198	1107.422	100.7467	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	11.32											X	0	1	X	Y	-	Not prev annotated
5778	Spectrogram 1	1	3402.224742163	3402.855452986	245.783	1387.952	1142.169	0.6307	363.281	103.3967	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	14.38											X	1	1	X	BY	-	Not prev annotated
5779	Spectrogram 1	1	3403.521696812	3406.302154381	318.072	1438.554	1120.482	2.7805	1048.828	104.6937	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.33											Y	5	5	X	BY	-	Not prev annotated
5780	Spectrogram 1	1	3407.446232034	3408.565521662	426.506	1380.723	954.217	1.1193	539.062	108.6182	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	11.44											Y	1	2	X	BY	-	Not prev annotated
5781	Spectrogram 1	1	3409.516029521	3412.225421082	332.530	1518.072	1185.542	2.7094	585.938	110.6880	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.39											Y	3	3	X	BY	-	Not prev annotated
5782	Spectrogram 1	1	3414.459965883	3414.886361932	361.446	1539.759	1178.313	0.4264	439.453	115.6320	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	11.50											Y	1	0	X	B	-	Not prev annotated
5783	Spectrogram 1	1	3415.152859463	3415.561489010	346.988	1619.277	1272.289	0.4086	609.375	116.3249	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	13.36											Y	1	2	X	BY	-	Not prev annotated
5784	Spectrogram 1	1	3415.916819051	3416.725194894	397.590	1554.217	1156.627	0.8084	527.344	117.0888	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.39											Y	1	1	X	BY	-	Not prev annotated
5785	Spectrogram 1	1	3419.718708689	3422.046120456	267.470	1474.699	1207.229	2.3274	1037.109	120.8907	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	13.07											Y	4	4	X	BY	-	Not prev annotated
5786	Spectrogram 1	1	3425.607839748	3427.917485013	332.530	1474.699	1142.169	2.3096	1048.828	126.7798	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.27											Y	3	1	X	BY	-	Not prev annotated
5787	Spectrogram 1	1	3431.055770048	3433.347648811	383.133	1243.373	860.241	2.2919	386.719	132.2278	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.77											Y	4	5	X	BY	-	Not prev annotated
5788	Spectrogram 1	1	3438.968432182	3440.771732139	390.361	1460.241	1069.880	1.8033	533.203	140.1404	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	12.77											Y	3	3	X	BY	-	Not prev annotated
5789	Spectrogram 1	1	3441.571224731	3442.228585306	375.904	1510.843	1134.940	0.6574	597.656	142.7432	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	13.51											Y	1	1	X	BY	-	Not prev annotated
5790	Spectrogram 1	1	3684.720302269	3686.843399263	274.699	1402.410	1127.711	2.1231	404.297	85.9096	1208234033.020905142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020905142219.wav	12.01											Y	4	3	X	BY	1668	
5791	Spectrogram 1	1	3689.934770618	3692.306598640	209.639	1438.554	1228.916	2.3718	351.562	91.1241	1208234033.020905142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020905142219.wav	12.32											Y	1	6	X	BY	1668	
5792	Spectrogram 1	1	3693.221426254	3695.886401560	187.952	1453.012	1265.060	2.6650	1072.266	94.4107	1208234033.020905142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020905142219.wav	12.61											Y	5	4	X	BY	1668	
5793	Spectrogram 1	1	3692.519649424	3692.812796707	954.217	1460.241	506.024	0.2931	1060.547	93.7090	1208234033.020905142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020905142219.wav	13.91											X	0	1	X	Y	1668	
5794	Spectrogram 1	1	3969.934752802	3970.423331608	36.145	730.120	693.976	0.4886	46.875	71.2327	1208234033.020908122219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020908122219.wav	16.81											Y	2	0	X	B	1743	FAINT
5795	Spectrogram 1	1	3971.666986751	3972.510895598	36.145	722.892	686.747	0.8439	152.344	72.9650	1208234033.020908122219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020908122219.wav	15.44											Y	3	0	X	B	1743	FAINT
5796	Spectrogram 1	1	3975.726632467	3976.339576788	65.060	563.855	498.795	0.6129	246.094	77.0246	1208234033.020908122219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020908122219.wav	15.31											Y	2	0	X	B	1743	FAINT
5797	Spectrogram 1	1	3976.925871355	3977.174602383	65.060	621.687	556.627	0.2487	210.938	78.2239	1208234033.020908122219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020908122219.wav	15.72											Y	1	0	X	B	1743	FAINT
5798	Spectrogram 1	1	3977.538815675	3977.903028967	65.060	708.434	643.373	0.3642	328.125	78.8368	1208234033.020908122219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020908122219.wav	16.11											Y	2	0	X	B	1743	FAINT
